,city,lat,lng,max temp,Humidity,Cloudiness,Wind Speed,country
0,Dubrovnik,42.65,18.09,87.8,35,0,19.46,HR
1,Esso,55.93,158.7,55.89,64,19,3.83,RU
2,Port Augusta,-32.5,137.77,44.6,56,100,5.82,AU
3,Lompoc,34.64,-120.46,71.6,60,0,17.22,US
4,Vila Franca do Campo,37.72,-25.43,71.6,73,75,8.05,PT
5,Avarua,-21.21,-159.78,71.6,68,42,5.82,CK
6,Punta Arenas,-53.15,-70.92,39.2,86,90,3.36,CL
7,Cape Town,-33.93,18.42,53.01,87,0,2.24,ZA
8,Ushuaia,-54.8,-68.3,42.8,81,40,8.05,AR
9,Mendeleyevo,56.03,37.22,57.2,87,20,11.18,RU
10,Vaini,-21.2,-175.2,73.4,73,75,8.05,TO
11,Kawalu,-7.38,108.21,70.02,91,84,2.04,ID
12,Sitka,57.05,-135.33,60.8,82,90,10.29,US
13,Praia da Vitória,38.73,-27.07,75.2,64,20,7.16,PT
14,Tasiilaq,65.61,-37.64,53.6,56,20,4.7,GL
15,Dalvik,65.97,-18.53,59.0,72,75,8.05,IS
16,Atuona,-9.8,-139.03,79.18,78,98,18.12,PF
17,Codrington,-38.27,141.97,50.38,89,100,6.6,AU
18,Bredasdorp,-34.53,20.04,48.2,93,0,5.82,ZA
19,Flinders,-34.58,150.86,48.99,85,69,1.01,AU
20,Imbituba,-28.24,-48.67,71.6,60,0,9.17,BR
21,Beringovskiy,63.05,179.32,51.28,80,100,7.36,RU
22,Kavieng,-2.57,150.8,81.48,80,100,7.18,PG
23,Puerto Ayora,-0.74,-90.35,80.6,61,20,20.8,EC
24,Visnes,59.36,5.22,66.2,63,83,10.29,NO
25,Cherskiy,68.75,161.3,42.93,77,98,9.69,RU
26,Chui,-33.7,-53.46,52.68,81,0,7.36,UY
27,Novopskov,49.55,39.09,60.03,73,0,4.83,UA
28,Lázaro Cárdenas,17.96,-102.2,88.12,61,0,10.22,MX
29,Mahébourg,-20.41,57.7,71.6,83,75,17.22,MU
30,Ayan,56.45,138.17,51.91,87,100,12.84,RU
31,Port Elizabeth,-33.92,25.57,55.4,100,0,6.93,ZA
32,Chara,56.91,118.26,57.88,82,99,4.34,RU
33,Adrar,20.5,-10.07,102.7,12,2,6.85,MR
34,Laas,46.62,10.7,64.99,82,75,6.93,IT
35,Barrow,71.29,-156.79,33.8,86,90,4.7,US
36,Joshīmath,30.57,79.57,67.66,60,95,0.4,IN
37,Mitsamiouli,-11.38,43.28,76.87,76,0,8.41,KM
38,Castro,-24.79,-50.01,57.38,74,0,2.66,BR
39,George Town,5.41,100.34,82.4,83,20,4.21,MY
40,Borinskoye,52.46,39.37,57.2,76,20,4.47,RU
41,Puertollano,38.69,-4.11,87.01,14,0,5.99,ES
42,Los Llanos de Aridane,28.66,-17.92,73.4,83,20,12.75,ES
43,Meaford,44.6,-80.58,78.01,77,100,7.05,CA
44,Ekhabi,53.51,142.97,52.41,96,100,22.26,RU
45,Sur,22.57,59.53,83.86,73,0,13.67,OM
46,Tual,-5.67,132.75,77.2,81,96,21.09,ID
47,Tuktoyaktuk,69.45,-133.04,53.6,93,90,18.34,CA
48,Havøysund,71.0,24.66,46.4,93,58,11.41,NO
49,Codajás,-3.84,-62.06,93.25,39,100,1.95,BR
50,Kaitangata,-46.28,169.85,51.01,70,90,4.0,NZ
51,Katsuura,35.13,140.3,75.0,89,15,12.55,JP
52,Playas,-2.63,-80.38,73.87,74,5,12.55,EC
53,Nome,64.5,-165.41,57.2,76,20,6.93,US
54,Mezen',65.85,44.24,50.47,96,100,9.89,RU
55,Fairbanks,64.84,-147.72,75.0,60,20,3.53,US
56,Fallon,39.47,-118.78,96.8,4,20,8.05,US
57,Busselton,-33.65,115.33,50.0,83,95,1.66,AU
58,Butaritari,3.07,172.79,83.32,80,2,17.4,KI
59,Pucallpa,-8.38,-74.55,87.8,55,75,5.82,PE
60,Hoa Binh,20.81,105.34,80.6,78,20,10.29,VN
61,Hermanus,-34.42,19.23,55.0,86,0,5.01,ZA
62,Lashio,22.93,97.75,70.03,99,94,0.43,MM
63,Hithadhoo,-0.6,73.08,82.58,75,26,10.63,MV
64,Bilibino,68.05,166.44,46.78,80,100,2.59,RU
65,Bandarbeyla,9.49,50.81,77.54,75,73,25.5,SO
66,Chokurdakh,70.63,147.92,55.4,63,88,2.42,RU
67,Hong Kong,22.29,114.16,80.01,88,100,11.99,HK
68,Pemangkat,1.17,108.97,76.48,90,99,6.82,ID
69,Lagoa,39.05,-27.98,71.55,70,0,8.39,PT
70,Albany,42.6,-73.97,93.99,36,79,0.85,US
71,Ketchikan,55.34,-131.65,64.4,72,90,17.22,US
72,Ol'khovatka,50.28,39.29,58.12,81,3,5.01,RU
73,Saint Paul Harbor,57.79,-152.41,57.2,82,90,6.93,US
74,Rikitea,-23.12,-134.97,73.81,78,15,8.19,PF
75,Tilichiki,60.47,166.1,53.78,74,20,5.79,RU
76,Cidreira,-30.18,-50.21,59.63,73,0,6.44,BR
77,San Carlos del Zulia,9.0,-71.91,92.61,53,9,3.51,VE
78,Mataura,-46.19,168.86,49.53,79,100,1.95,NZ
79,Alice Springs,-23.7,133.88,35.6,40,0,5.82,AU
80,Bubaque,11.28,-15.83,81.1,83,100,9.51,GW
81,Rundu,-17.93,19.77,55.04,36,0,7.09,
82,Provideniya,64.38,-173.3,47.03,69,26,7.96,RU
83,Pierre,44.37,-100.35,84.0,39,40,17.22,US
84,Qaanaaq,77.48,-69.36,40.3,69,2,6.96,GL
85,Yonago,35.43,133.33,75.2,94,75,3.36,JP
86,Souillac,-20.52,57.52,71.6,83,75,17.22,MU
87,Ust'-Kulom,61.69,53.69,50.34,97,75,1.5,RU
88,Sistranda,63.73,8.83,64.99,82,16,3.36,NO
89,Ponta Delgada,37.73,-25.67,71.6,73,75,8.05,PT
90,Vestmannaeyjar,63.44,-20.27,52.45,94,100,15.14,IS
91,Ubauro,28.17,69.73,97.03,40,3,11.54,PK
92,Bambous Virieux,-20.34,57.76,71.6,83,75,17.22,MU
93,Saskylakh,71.92,114.08,61.63,54,100,6.22,RU
94,Kapaa,22.08,-159.32,82.4,69,75,12.75,US
95,Tambilil,5.96,124.67,77.45,78,84,4.94,PH
96,San Patricio,19.22,-104.7,87.8,74,20,11.41,MX
97,Batticaloa,7.71,81.69,81.16,70,100,5.61,LK
98,Phan Thiet,10.93,108.1,77.76,88,100,13.42,VN
99,Bluff,-46.6,168.33,51.75,90,87,13.18,NZ
100,Saint-Philippe,-21.36,55.77,69.8,77,90,19.46,RE
101,Carnarvon,-24.87,113.63,60.8,87,0,12.75,AU
102,Nikolskoye,59.7,30.79,55.0,76,20,2.24,RU
103,Najrān,17.49,44.13,86.0,48,40,9.17,SA
104,Mergen,49.18,125.22,67.03,92,100,5.37,CN
