,city,lat,max temp,Humidity,Cloudiness,Wind Speed,country,temp,Lat,Lng
0,yellowknife,62.46,72.0,52,75,13.87,CA,72.0,62.4539717,-114.3717887
1,ancud,-41.87,51.01,87,90,11.41,CL,51.01,-41.8675003,-73.8276965
2,punta arenas,-53.15,37.4,86,75,21.92,CL,37.4,-53.1638329,-70.9170683
3,ushuaia,-54.8,41.0,52,40,13.87,AR,41.0,-54.8019121,-68.3029511
4,carnarvon,-24.87,59.0,77,0,14.99,AU,59.0,-24.8877473,113.6621827
5,belyy yar,53.6,57.2,87,40,4.47,RU,57.2,58.4468168,85.03452999999999
6,saint-louis,16.33,86.0,79,96,13.4,SN,86.0,38.6270025,-90.19940419999999
7,airai,-8.93,55.6,52,64,3.38,TL,55.6,7.396611799999999,134.5690225
8,chuy,-33.7,49.59,90,100,2.93,UY,49.59,35.421356,-97.4950777
9,srandakan,-7.94,71.83,90,42,3.33,ID,71.83,-7.938720999999999,110.253601
10,castro,-24.79,51.3,93,52,5.99,BR,51.3,37.7609082,-122.4350043
11,brae,60.4,59.0,82,84,20.8,GB,59.0,60.39685199999999,-1.3541129
12,kuala terengganu,5.33,78.8,94,20,3.36,MY,78.8,5.329624,103.1370142
13,saskylakh,71.92,64.27,55,4,4.14,RU,64.27,71.954308,114.1198349
14,payo,-3.75,70.25,90,98,1.74,ID,70.25,26.7957942,-101.4222355
15,kendari,-3.94,73.2,90,80,4.16,ID,73.2,-3.9984597,122.5129742
16,butaritari,3.07,83.12,72,54,7.94,KI,83.12,3.1166667,172.8
17,port elizabeth,-33.92,50.0,93,0,2.24,ZA,50.0,-33.9608369,25.6022423
18,barrow,71.29,39.2,80,90,5.82,US,39.2,36.14861399999999,-95.990516
19,vaini,-21.2,71.6,73,75,10.29,TO,71.6,-21.1935,-175.1751534
20,nanortalik,60.14,44.1,83,99,11.65,GL,44.1,60.1424955,-45.2394951
21,sitka,57.05,84.2,32,40,5.82,US,84.2,57.0530556,-135.33
22,mapiripan,2.89,80.26,71,55,2.91,CO,80.26,2.892506,-72.13317500000001
23,pital,2.27,72.79,72,25,6.31,CO,72.79,10.4531184,-84.27791549999999
24,ibicui,-14.84,60.53,87,17,3.44,BR,60.53,-14.8433205,-39.9859389
25,bengkulu,-3.8,72.59,91,72,4.97,ID,72.59,-3.792845099999999,102.2607641
26,upernavik,72.79,44.64,64,67,12.82,GL,44.64,72.7862882,-56.1375527
27,busselton,-33.65,45.0,88,72,4.47,AU,45.0,-33.6531584,115.3454892
28,arraial do cabo,-22.97,68.81,75,86,15.97,BR,68.81,-22.9673373,-42.0268099
29,mataura,-46.19,53.49,77,100,4.7,NZ,53.49,-46.193922,168.8655083
30,norman wells,65.28,84.2,35,5,6.93,CA,84.2,65.28149379999999,-126.8286524
31,rikitea,-23.12,74.01,84,100,9.82,PF,74.01,-23.1223034,-134.9691543
32,timbiqui,2.77,78.96,91,84,5.3,CO,78.96,2.777744,-77.66760599999999
34,muros,42.78,66.99,82,71,1.01,ES,66.99,42.8073676,-9.0460525
35,kavaratti,10.57,82.33,80,100,23.09,IN,82.33,10.5593204,72.63581340000002
36,jamestown,42.1,77.0,61,40,9.17,US,77.0,37.2116383,-76.7752102
37,poum,-20.23,71.01,77,5,28.34,NC,71.01,-20.2349574,164.0329499
38,la ronge,55.1,78.8,36,40,12.75,CA,78.8,55.10823,-105.285989
39,belem de sao francisco,-8.75,72.3,74,57,19.42,BR,72.3,-8.549488199999999,-39.0116869
40,valle de allende,26.93,84.04,36,87,10.71,MX,84.04,26.9371422,-105.3928344
41,krasnoselkup,65.7,54.36,79,100,12.8,RU,54.36,65.69455599999999,82.525613
42,liwonde,-15.05,56.26,71,0,3.18,MW,56.26,-15.0695237,35.2313307
43,hermanus,-34.42,46.0,95,1,5.75,ZA,46.0,-34.4092004,19.2504436
44,hithadhoo,-0.6,82.67,74,100,8.25,MV,82.67,-0.6060574,73.0892245
45,cherskiy,68.75,44.44,77,100,8.3,RU,44.44,68.742677,161.3507839
46,cape town,-33.93,55.0,100,0,2.24,ZA,55.0,-33.9248685,18.4240553
47,talnakh,69.49,59.0,93,88,11.18,RU,59.0,69.5,88.39999999999999
48,ust-koksa,50.27,43.7,76,2,0.54,RU,43.7,50.270819,85.613152
49,karratha,-20.74,66.76,28,0,7.67,AU,66.76,-20.7337105,116.8447425
50,porbandar,21.64,84.06,81,100,6.82,IN,84.06,21.6416979,69.62930589999999
51,davila,18.47,77.0,100,90,5.82,PH,77.0,29.6411142,-95.17275269999999
52,khatanga,71.97,65.97,50,87,12.82,RU,65.97,71.964027,102.4406129
53,roebourne,-20.78,67.41,26,0,7.07,AU,67.41,-20.9596491,116.6081653
54,xam nua,20.42,67.91,93,82,0.36,LA,67.91,20.4170831,104.04787
55,maniitsoq,65.42,45.77,96,100,20.78,GL,45.77,65.4076761,-52.90057179999999
56,dukat,62.55,49.69,67,59,12.73,RU,49.69,42.04015,-87.74939599999999
57,nikolskoye,59.7,57.99,71,57,8.95,RU,57.99,55.1981604,166.0015368
58,margate,51.38,71.01,78,56,1.01,GB,71.01,26.2445263,-80.206436
59,nataga,2.54,66.25,78,5,3.22,CO,66.25,2.544621,-75.8089408
60,chokurdakh,70.63,48.24,70,100,3.51,RU,48.24,70.622169,147.916168
61,east london,-33.02,59.83,63,0,4.85,ZA,59.83,51.55633,0.0655092
62,bluff,-46.6,50.59,89,100,5.03,NZ,50.59,37.2844448,-109.5517877
63,albany,42.6,86.0,47,12,4.16,US,86.0,42.6525793,-73.7562317
64,itoman,26.12,86.0,79,20,5.82,JP,86.0,26.1236704,127.6657634
65,nizhniy odes,63.64,51.04,97,100,5.61,RU,51.04,63.6378381,54.84651059999999
