,city,lat,lng,max temp,Humidity,Cloudiness,Wind Speed,country
0,Bethel,41.37,-73.41,75.99,38,1,10.29,US
1,Kayerkan,69.35,87.76,44.6,100,90,11.18,RU
2,Busselton,-33.65,115.33,39.0,77,0,3.94,AU
3,Butaritari,3.07,172.79,83.19,70,13,10.96,KI
4,Sola,-13.88,167.55,82.4,78,75,9.17,VU
5,Zhangjiakou,40.81,114.88,62.49,81,100,5.59,CN
6,Pevek,69.7,170.31,39.97,78,14,7.05,RU
7,Thompson,55.74,-97.86,53.6,93,75,8.05,CA
8,Yaan,7.38,8.57,72.59,95,76,6.26,NG
9,Ushuaia,-54.8,-68.3,28.4,92,40,24.16,AR
10,Pangnirtung,66.15,-65.71,53.62,46,45,2.15,CA
11,Juba,4.85,31.58,70.86,88,15,2.59,SS
12,Faanui,-16.48,-151.75,77.23,76,37,21.77,PF
13,Sobolevo,54.43,31.9,64.13,89,19,10.33,RU
14,Kamiiso,41.82,140.65,60.8,87,75,14.99,JP
15,Lavrentiya,65.58,-171.0,51.03,72,21,25.26,RU
16,Dingle,11.0,122.67,79.9,86,71,7.61,PH
17,Barrow,71.29,-156.79,39.2,86,90,16.11,US
18,Lewiston,44.1,-70.21,64.99,52,75,10.29,US
19,Tasiilaq,65.61,-37.64,51.8,40,100,19.46,GL
20,Saint Paul Harbor,57.79,-152.41,55.4,87,90,13.87,US
21,Vaini,-21.2,-175.2,78.8,83,75,16.11,TO
22,Rikitea,-23.12,-134.97,69.17,82,27,18.07,PF
23,Minudasht,37.23,55.37,66.2,77,52,2.24,IR
24,Rājur,20.12,78.92,76.12,88,15,4.47,IN
25,East London,-33.02,27.91,52.27,64,3,8.9,ZA
26,Mataura,-46.19,168.86,59.31,47,39,14.14,NZ
27,Healdsburg,38.61,-122.87,82.99,47,1,10.29,US
28,Albany,42.6,-73.97,72.0,46,0,5.93,US
29,Khatanga,71.97,102.5,44.62,88,85,7.38,RU
30,Wysokie Mazowieckie,52.92,22.52,62.01,93,100,8.23,PL
31,Ürümqi,43.8,87.6,64.4,48,0,4.47,CN
32,Kapaa,22.08,-159.32,84.99,58,20,17.22,US
33,Kahului,20.89,-156.47,89.6,46,40,19.46,US
34,Camacha,33.08,-16.33,71.6,56,75,12.75,PT
35,Airai,-8.93,125.41,63.9,76,27,5.35,TL
36,Hobart,-42.88,147.33,48.99,52,20,11.41,AU
37,Grindavik,63.84,-22.43,51.8,100,90,32.21,IS
38,Konstantinovka,49.62,127.98,54.68,94,100,11.27,RU
39,Puerto Ayora,-0.74,-90.35,78.8,50,100,20.8,EC
40,Half Moon Bay,37.46,-122.43,75.0,60,20,6.93,US
41,Provideniya,64.38,-173.3,53.6,62,75,20.13,RU
42,Goderich,43.75,-81.72,69.01,68,13,9.66,CA
43,Bonavista,48.65,-53.11,57.0,79,98,1.01,CA
44,Manokwari,-0.87,134.08,76.82,83,99,4.05,ID
45,Rafrāf,37.19,10.18,78.8,83,40,4.7,TN
46,Dubbo,-32.25,148.62,51.8,87,0,10.29,AU
47,Castro,-24.79,-50.01,64.42,66,0,3.67,BR
48,Paris,48.85,2.35,59.0,82,29,9.17,FR
49,Páez,5.1,-73.05,65.39,88,98,0.78,CO
50,Tuatapere,-46.13,167.68,58.75,56,15,16.6,NZ
51,Ahmadpur East,29.14,71.26,88.47,57,61,11.14,PK
52,Belmopan,17.25,-88.77,89.01,56,0,8.99,BZ
53,Mayor Pablo Lagerenza,-19.93,-60.77,76.87,52,35,12.68,PY
54,Brumunddal,60.88,10.94,39.0,79,2,1.01,NO
55,Larreynaga,12.68,-86.57,91.4,55,20,4.7,NI
56,Saskylakh,71.92,114.08,49.96,77,61,5.06,RU
57,Jūybār,36.64,52.91,70.2,77,0,1.77,IR
58,Port Hedland,-20.32,118.57,66.2,32,15,8.05,AU
59,Ribeira Grande,38.52,-28.7,75.27,93,44,7.99,PT
60,Shebunino,46.43,141.86,58.62,68,5,13.22,RU
61,Port Blair,11.67,92.75,81.07,81,91,6.89,IN
62,Yumen,40.28,97.2,51.78,44,2,3.38,CN
63,Mar del Plata,-38.0,-57.56,50.0,39,0,6.93,AR
64,Dikson,73.51,80.55,41.77,97,100,14.61,RU
65,George Town,5.41,100.34,78.8,94,20,4.21,MY
66,Esim,4.87,-2.24,74.35,88,100,7.92,GH
67,Lüderitz,-26.65,15.16,56.05,38,38,21.23,NA
68,Saint-Philippe,-21.36,55.77,69.8,68,35,5.82,RE
69,Thinadhoo,0.53,72.93,82.35,72,98,7.9,MV
70,Korla,41.76,86.15,73.99,59,28,1.01,CN
71,El Tocuyo,9.79,-69.79,86.0,42,65,10.29,VE
72,Cape Town,-33.93,18.42,44.6,81,20,9.17,ZA
73,Berlevåg,70.86,29.09,44.6,75,40,6.93,NO
74,Norman Wells,65.28,-126.83,62.6,45,75,12.75,CA
75,Hilo,19.73,-155.09,84.2,62,75,6.93,US
76,Punta Arenas,-53.15,-70.92,33.8,55,75,9.17,CL
77,São Filipe,14.9,-24.5,78.08,82,63,13.27,CV
78,Carnarvon,-24.87,113.63,51.8,100,0,2.24,AU
79,Taltal,-25.4,-70.48,56.88,76,100,3.78,CL
80,Touros,-5.2,-35.46,77.0,78,0,5.82,BR
81,Torbay,47.67,-52.73,70.0,94,90,10.29,CA
82,Hithadhoo,-0.6,73.08,82.29,73,66,11.14,MV
83,Monticello,45.31,-93.79,75.0,53,1,15.73,US
84,Avarua,-21.21,-159.78,78.8,69,33,17.22,CK
85,Ha Giang,22.83,104.98,75.45,83,93,2.21,VN
86,Inhambane,-23.86,35.38,70.5,84,96,16.13,MZ
87,Kununurra,-15.77,128.73,75.2,18,0,5.82,AU
88,Rocha,-34.48,-54.33,38.82,74,60,5.79,UY
89,Saint George,37.1,-113.58,97.0,14,1,11.41,US
90,Tiksi,71.69,128.87,43.18,83,13,9.62,RU
91,Praia da Vitória,38.73,-27.07,78.8,83,75,5.08,PT
92,Morros,-9.45,-46.3,81.19,33,12,6.82,BR
93,Kaduy,59.2,37.15,53.17,96,94,2.3,RU
94,Iqaluit,63.75,-68.51,59.0,51,20,6.93,CA
95,Kavieng,-2.57,150.8,84.72,72,87,12.77,PG
96,Constitución,-35.33,-72.42,49.39,75,0,9.82,CL
97,Gunjur,13.2,-16.73,80.6,94,40,5.82,GM
98,New Norfolk,-42.78,147.06,48.99,72,10,4.7,AU
99,Fort Nelson,58.81,-122.7,62.6,51,75,3.36,CA
100,Porto Empedocle,37.29,13.53,75.99,62,0,4.5,IT
101,Husavik,66.04,-17.34,51.8,81,90,13.87,IS
102,Evanston,42.04,-87.69,75.0,56,1,8.05,US
103,Port Elizabeth,-33.92,25.57,46.4,81,24,6.93,ZA
104,Poum,-20.23,164.02,69.48,66,1,5.32,NC
105,Bredasdorp,-34.53,20.04,44.6,81,13,8.05,ZA
106,Qaanaaq,77.48,-69.36,30.51,82,0,3.78,GL
107,Jamestown,42.1,-79.24,68.0,63,1,6.93,US
108,Nikolskoye,59.7,30.79,59.0,87,97,6.71,RU
109,Haines Junction,60.75,-137.51,52.92,61,94,6.4,CA
110,Longyearbyen,78.22,15.64,37.4,86,75,4.7,SJ
111,Bereda,43.27,-7.54,53.01,97,26,1.01,ES
112,Muros,42.78,-9.06,59.0,72,58,1.01,ES
113,Lucea,18.45,-78.17,88.0,62,75,5.82,JM
114,Yellowknife,62.46,-114.35,53.6,54,75,14.99,CA
115,Atuona,-9.8,-139.03,78.67,80,37,23.49,PF
116,Lamu,-2.27,40.9,75.79,82,2,11.72,KE
117,Margate,51.38,1.39,61.0,79,91,5.99,GB
118,Mora,11.05,14.14,74.12,84,79,2.44,CM
119,Necochea,-38.55,-58.74,43.0,77,0,1.99,AR
120,Amapá,1.0,-52.0,76.12,85,13,3.15,BR
121,Aklavik,68.22,-135.01,51.8,62,90,2.24,CA
122,Atambua,-9.11,124.89,73.63,72,23,5.01,ID
123,Port Alfred,-33.59,26.89,49.5,74,11,10.96,ZA
124,Mafinga,-7.25,35.07,63.79,60,0,3.49,TZ
125,Oruzgan,32.83,66.0,58.55,32,0,3.31,AF
126,Redmond,47.67,-122.12,75.0,47,0,3.47,US
127,Kuril'sk,45.23,147.88,53.44,73,93,5.08,RU
128,Portland,45.52,-122.68,77.0,43,20,6.93,US
129,Dongsheng,39.82,109.98,54.23,82,1,5.97,CN
130,Arraial do Cabo,-22.97,-42.03,77.0,78,0,9.17,BR
131,Strezhevoy,60.73,77.59,59.0,93,90,4.47,RU
132,Bluff,-46.6,168.33,56.16,62,42,23.24,NZ
133,Flinders,-34.58,150.86,64.99,61,9,7.0,AU
134,Thio,-21.62,166.22,69.8,56,40,2.24,NC
135,Koumac,-20.57,164.28,71.19,60,4,4.47,NC
136,Ziro,27.63,93.83,57.61,100,100,1.05,IN
137,Kalmar,56.66,16.36,55.99,100,1,3.36,SE
138,Keelung,25.13,121.74,84.0,88,75,6.93,TW
139,Lotofaga,-13.98,-171.86,86.0,74,20,16.11,WS
140,Palmer,42.16,-72.33,71.6,40,20,14.99,US
141,Severo-Kuril'sk,50.68,156.12,52.09,81,17,15.73,RU
142,Leningradskiy,69.38,178.42,36.1,92,100,4.79,RU
143,Petropavlovsk-Kamchatskiy,53.05,158.65,50.0,87,0,6.71,RU
144,Hermanus,-34.42,19.23,39.0,89,3,13.6,ZA
145,Kimberley,-28.73,24.76,35.6,40,7,1.12,ZA
146,Buin,-33.73,-70.75,63.0,36,0,5.82,CL
147,Beringovskiy,63.05,179.32,45.79,75,100,32.48,RU
148,Léo,11.1,-2.1,72.43,94,90,4.99,BF
149,Khorixas,-20.37,14.97,46.33,55,0,4.21,NA
150,Colares,38.8,-9.45,66.0,56,35,18.01,PT
151,Saldanha,-33.01,17.94,41.0,80,0,2.24,ZA
152,Turukhansk,65.82,87.98,49.12,96,50,3.36,RU
153,That Phanom,16.94,104.71,75.56,92,43,3.89,TH
154,Santa Cruz de La Palma,28.68,-17.76,73.4,64,90,18.34,ES
155,Bikin,46.82,134.26,54.91,72,100,5.41,RU
156,Bambous Virieux,-20.34,57.76,71.01,88,40,14.99,MU
157,San Patricio,19.22,-104.7,78.8,100,90,11.41,MX
158,Cayenne,4.93,-52.33,82.4,78,100,9.17,GF
159,Sacramento,38.47,-121.32,95.0,27,1,8.05,US
160,Channel-Port aux Basques,47.57,-59.14,61.38,96,98,5.68,CA
161,Kâhta,37.79,38.62,86.0,17,0,9.17,TR
162,Quelimane,-17.88,36.89,75.2,83,0,3.36,MZ
163,Mount Isa,-20.73,139.5,68.0,37,0,9.17,AU
164,Guozhen,34.37,107.36,61.83,76,41,2.28,CN
165,Sur,22.57,59.53,84.52,61,48,5.5,OM
166,Camaná,-16.62,-72.71,59.45,80,100,6.76,PE
167,Bucerías,20.75,-105.33,82.4,83,90,8.05,MX
168,Cockburn Town,21.46,-71.14,86.0,66,40,8.05,TC
169,Bose,45.46,8.01,63.0,78,40,4.0,IT
170,Les Escoumins,48.11,-69.02,43.68,100,100,11.27,CA
171,Iroquois Falls,48.77,-80.68,55.4,66,75,4.7,CA
172,Santa Cruz,30.42,-9.6,68.0,77,0,4.7,MA
173,San Policarpo,12.18,125.51,81.12,82,96,7.63,PH
174,Coquimbo,-29.95,-71.34,55.4,76,2,8.05,CL
175,Sabang,5.89,95.32,82.9,75,92,13.06,ID
176,Nouadhibou,20.93,-17.03,73.4,73,13,20.8,MR
177,Piranshahr,36.7,45.14,61.79,42,0,5.3,IR
178,Muisne,0.6,-80.03,80.6,83,40,12.75,EC
179,Bambari,5.77,20.68,70.45,94,100,0.6,CF
180,Biak,-0.91,122.88,78.15,79,93,7.58,ID
181,Cabedelo,-6.98,-34.83,75.2,88,20,9.17,BR
182,Port Hardy,50.7,-127.42,53.6,100,90,9.17,CA
183,Rome,43.21,-75.46,69.8,52,40,13.87,US
184,Ferkessédougou,9.6,-5.2,72.21,92,54,4.47,CI
185,Maxixe,-23.86,35.35,70.23,84,96,15.08,MZ
186,Batemans Bay,-35.72,150.18,57.99,81,24,4.0,AU
187,Sorochinsk,52.43,53.16,58.87,81,58,4.18,RU
188,Kaitangata,-46.28,169.85,60.01,43,96,12.24,NZ
189,Pochutla,15.74,-96.47,87.8,66,40,4.29,MX
190,Padang,-0.95,100.35,77.22,79,100,4.43,ID
191,Craig,40.52,-107.55,86.0,15,1,18.34,US
192,Mineral Wells,32.81,-98.11,102.2,31,1,13.87,US
193,Lokosovo,61.13,74.82,58.15,97,94,6.85,RU
194,Cherskiy,68.75,161.3,40.14,84,100,6.15,RU
195,Sovetskiy,61.36,63.58,53.8,97,21,5.35,RU
196,Turaif,31.67,38.66,82.4,21,0,10.29,SA
197,Esperance,-33.87,121.9,41.0,93,0,12.75,AU
198,Chui,-33.7,-53.46,43.57,78,93,4.25,UY
199,Isiro,2.77,27.62,65.7,98,59,0.72,CD
200,Chupa,66.27,33.05,45.93,86,34,3.18,RU
201,Lebu,-37.62,-73.65,48.27,73,2,22.19,CL
202,Sitka,57.05,-135.33,55.4,93,90,4.7,US
203,Ikeda,34.82,135.43,84.99,74,40,3.36,JP
204,Atasū,48.68,71.64,63.21,48,0,8.57,KZ
205,San Cristobal,7.77,-72.22,77.0,73,75,6.93,VE
206,Ponta do Sol,32.67,-17.1,73.4,56,40,19.46,PT
207,Arrondissement de Beaune,47.08,4.75,57.2,100,37,2.24,FR
208,Sabha,27.04,14.43,88.23,19,0,12.66,LY
209,Biedenkopf,50.92,8.53,57.0,96,100,1.01,DE
210,Kantunilkín,21.09,-87.45,87.8,70,40,13.87,MX
211,Corinth,37.94,22.96,77.0,42,0,1.01,GR
212,Krasnyy Chikoy,50.36,108.75,53.73,90,100,4.32,RU
213,San Rafael del Sur,11.85,-86.44,84.2,66,75,23.04,NI
214,San Carlos del Zulia,9.0,-71.91,79.18,82,100,3.76,VE
215,Souillac,-20.52,57.52,69.8,88,40,14.99,MU
