,city,lat,lng,max temp,Humidity,Cloudiness,Wind Speed,country
0,Hambantota,6.12,81.12,82.4,83,28,9.17,LK
1,Hermanus,-34.42,19.23,54.0,69,90,8.99,ZA
2,Yerofey Pavlovich,53.97,121.97,45.7,75,99,6.87,RU
3,Bredasdorp,-34.53,20.04,51.8,81,98,14.99,ZA
4,George Town,5.41,100.34,82.4,83,20,1.86,MY
5,Yellowknife,62.46,-114.35,59.0,62,75,5.82,CA
6,Bilibino,68.05,166.44,36.3,89,97,7.87,RU
7,Arawa,-6.21,155.54,75.78,83,11,4.52,PG
8,Baykit,61.67,96.37,53.91,64,100,3.33,RU
9,Vila Velha,-20.33,-40.29,82.99,65,20,14.99,BR
10,Kungurtug,50.6,97.52,51.04,74,28,2.89,RU
11,New Norfolk,-42.78,147.06,48.99,90,28,2.19,AU
12,Atuona,-9.8,-139.03,78.28,75,0,17.38,PF
13,Ribeira Grande,38.52,-28.7,75.2,88,75,28.86,PT
14,Butaritari,3.07,172.79,81.09,61,64,5.61,KI
15,Necochea,-38.55,-58.74,53.53,44,0,15.5,AR
16,Cape Town,-33.93,18.42,53.01,76,75,16.11,ZA
17,Ārvi,20.98,78.23,76.26,89,100,13.13,IN
18,Hasaki,35.73,140.83,81.0,100,90,3.36,JP
19,Rikitea,-23.12,-134.97,70.88,78,8,13.49,PF
20,Torbay,47.67,-52.73,79.0,41,75,9.17,CA
21,Ushuaia,-54.8,-68.3,33.8,86,75,4.25,AR
22,Upernavik,72.79,-56.15,46.27,55,95,0.81,GL
23,Dingle,11.0,122.67,75.15,91,100,6.15,PH
24,Tasiilaq,65.61,-37.64,46.4,93,75,6.93,GL
25,Severo-Kuril'sk,50.68,156.12,50.81,91,77,1.1,RU
26,Albany,42.6,-73.97,73.99,69,54,3.18,US
27,Kapaa,22.08,-159.32,77.0,78,40,14.99,US
28,Vaini,-21.2,-175.2,69.8,77,75,9.17,TO
29,Dunedin,-45.87,170.5,43.0,83,44,1.99,NZ
30,Longyearbyen,78.22,15.64,46.4,70,75,5.82,SJ
31,Quelimane,-17.88,36.89,77.0,73,75,6.93,MZ
32,Avarua,-21.21,-159.78,69.8,73,38,4.7,CK
33,Nanortalik,60.14,-45.24,49.73,61,97,6.87,GL
34,Aktash,50.3,87.73,43.83,73,60,1.07,RU
35,Gunjur,13.2,-16.73,86.0,79,75,13.02,GM
36,Jacksonville,30.33,-81.66,90.0,62,75,3.36,US
37,Nikolskoye,59.7,30.79,64.4,55,0,11.18,RU
38,Moose Factory,51.26,-80.61,66.2,72,75,4.7,CA
39,Arraial do Cabo,-22.97,-42.03,80.6,73,75,5.82,BR
40,Deputatsky,69.3,139.9,30.83,98,77,3.65,RU
41,Alice Springs,-23.7,133.88,64.4,27,0,9.17,AU
42,Namwala,-15.75,26.44,74.01,20,28,5.1,ZM
43,Barrow,71.29,-156.79,44.6,87,90,24.16,US
44,Khojaly District,39.91,46.79,64.02,73,98,2.93,AZ
45,Carnarvon,-24.87,113.63,55.4,93,78,8.05,AU
46,At-Bashi,41.17,75.81,63.57,50,78,4.38,KG
47,Padang,-0.95,100.35,78.28,77,100,4.88,ID
48,Punta Arenas,-53.15,-70.92,39.2,86,75,19.46,CL
49,Busselton,-33.65,115.33,52.0,71,93,16.73,AU
50,Lorengau,-2.02,147.27,81.97,78,9,8.61,PG
51,Fortuna,40.6,-124.16,60.01,95,100,6.38,US
52,Marawi,8.0,124.29,73.99,95,100,5.01,PH
53,Opuwo,-18.06,13.84,71.1,21,17,9.66,NA
54,Kahului,20.89,-156.47,75.2,73,20,10.29,US
55,Mar del Plata,-38.0,-57.56,55.99,28,0,17.22,AR
56,Gobabis,-22.45,18.97,69.12,20,0,17.4,NA
57,Bengkulu,-3.8,102.27,77.67,84,73,0.83,ID
58,Lincoln,40.8,-96.67,78.8,54,1,5.82,US
59,Tuktoyaktuk,69.45,-133.04,50.0,87,90,6.93,CA
60,Qaanaaq,77.48,-69.36,40.96,66,66,7.31,GL
61,Ratnagiri,16.98,73.3,80.26,85,100,12.75,IN
62,Aldan,58.6,125.39,38.03,89,59,2.35,RU
63,Ürümqi,43.8,87.6,78.8,31,15,4.47,CN
64,Hilo,19.73,-155.09,75.2,73,90,5.82,US
65,Kavaratti,10.57,72.64,82.22,81,98,11.86,IN
66,Saint-Philippe,-21.36,55.77,71.6,73,90,12.75,RE
67,Olivehurst,39.1,-121.55,78.8,57,20,12.75,US
68,Lavrentiya,65.58,-171.0,45.37,89,100,0.87,RU
69,Nizhniy Baskunchak,48.22,46.83,75.51,39,9,9.24,RU
70,Xinzhou,38.41,112.73,66.52,88,90,2.33,CN
71,Port Alfred,-33.59,26.89,60.28,61,98,17.2,ZA
72,Souillac,-20.52,57.52,71.6,73,40,9.17,MU
73,Chui,-33.7,-53.46,59.25,48,0,3.8,UY
74,Los Llanos de Aridane,28.66,-17.92,84.2,37,8,12.75,ES
75,Lashio,22.93,97.75,68.0,100,100,2.44,MM
76,Tamandaré,-8.76,-35.1,79.47,66,4,10.22,BR
77,Luan,46.36,6.98,75.2,57,75,16.11,CH
78,Dawei,14.08,98.2,77.25,86,100,1.57,MM
79,Tateyama,34.98,139.87,81.0,100,75,1.12,JP
80,Novobirilyussy,56.95,90.67,55.44,84,2,6.04,RU
81,Mataura,-46.19,168.86,37.0,96,87,1.99,NZ
82,Sakakah,29.97,40.21,96.8,13,0,13.87,SA
83,Puerto Ayora,-0.74,-90.35,70.0,77,75,13.87,EC
84,Hofn,64.25,-15.21,51.8,87,90,8.05,IS
85,Ivanovka,42.89,75.08,77.0,57,40,6.71,KG
86,Toora-Khem,52.47,96.11,56.55,78,100,2.19,RU
87,Hobart,-42.88,147.33,48.99,100,90,2.53,AU
88,Queenstown,51.86,-8.3,62.01,100,75,9.17,IE
89,Khatanga,71.97,102.5,57.96,89,86,5.14,RU
90,Laas,46.62,10.7,66.0,87,40,5.82,IT
91,Ginir,7.13,40.7,64.83,79,44,6.64,ET
92,Berbera,10.44,45.01,94.46,45,6,2.93,SO
93,Yenagoa,4.92,6.26,80.1,75,81,9.31,NG
94,Mahébourg,-20.41,57.7,71.6,73,40,9.17,MU
95,Tessalit,20.2,1.01,102.43,22,12,7.87,ML
96,Wajima,37.4,136.9,75.69,87,75,5.86,JP
97,Itarema,-2.92,-39.92,88.02,43,0,20.07,BR
98,Hong Kong,22.29,114.16,82.0,83,97,4.0,HK
99,Bagdarin,54.43,113.6,44.55,85,18,2.19,RU
100,San Patricio,19.22,-104.7,89.6,66,75,8.37,MX
101,Beringovskiy,63.05,179.32,51.91,83,100,24.72,RU
102,Balikpapan,-1.27,116.83,79.23,80,89,8.14,ID
103,Bambous Virieux,-20.34,57.76,71.6,73,40,9.17,MU
104,Ancud,-41.87,-73.82,52.0,81,75,6.93,CL
105,Nishihara,26.18,127.76,84.2,79,20,4.7,JP
106,Norman Wells,65.28,-126.83,53.6,66,75,5.82,CA
107,Ponta do Sol,32.67,-17.1,80.6,61,20,16.11,PT
108,Dul'durga,50.68,113.59,46.22,90,39,6.46,RU
109,Honningsvåg,70.98,25.97,48.2,76,75,21.92,NO
110,Jamestown,42.1,-79.24,75.0,60,75,11.41,US
111,São João da Barra,-21.64,-41.05,86.0,55,40,6.93,BR
112,Rodrigues Alves,-7.74,-72.65,93.2,56,40,3.36,BR
113,Kaka,37.35,59.61,79.84,22,56,3.89,TM
114,Coos Bay,43.37,-124.22,64.0,87,90,3.36,US
115,Airai,-8.93,125.41,55.76,82,0,2.84,TL
116,Pevek,69.7,170.31,37.38,87,97,10.69,RU
117,Coquimbo,-29.95,-71.34,51.8,81,90,4.7,CL
118,Port Elizabeth,-33.92,25.57,59.0,39,58,6.22,ZA
119,Maniitsoq,65.42,-52.9,50.76,60,0,7.07,GL
120,Geraldton,-28.77,114.6,55.4,87,40,6.93,AU
121,Seoul,37.57,126.98,77.0,94,1,1.9,KR
122,Guerrero Negro,27.98,-114.06,81.63,51,52,9.71,MX
123,‘Āhuimanu,21.44,-157.84,80.6,65,20,10.29,US
