,city,max temp,Humidity,Cloudiness,Wind Speed
0,Bethel,75.99,38,1,10.29
1,Kayerkan,44.6,100,90,11.18
2,Busselton,39.0,77,0,3.94
3,Butaritari,83.19,70,13,10.96
4,Sola,82.4,78,75,9.17
5,Zhangjiakou,62.49,81,100,5.59
6,Pevek,39.97,78,14,7.05
7,Thompson,53.6,93,75,8.05
8,Yaan,72.59,95,76,6.26
9,Ushuaia,28.4,92,40,24.16
10,Pangnirtung,53.62,46,45,2.15
11,Juba,70.86,88,15,2.59
12,Faanui,77.23,76,37,21.77
13,Sobolevo,64.13,89,19,10.33
14,Kamiiso,60.8,87,75,14.99
15,Lavrentiya,51.03,72,21,25.26
16,Dingle,79.9,86,71,7.61
17,Barrow,39.2,86,90,16.11
18,Lewiston,64.99,52,75,10.29
19,Tasiilaq,51.8,40,100,19.46
20,Saint Paul Harbor,55.4,87,90,13.87
21,Vaini,78.8,83,75,16.11
22,Rikitea,69.17,82,27,18.07
23,Minudasht,66.2,77,52,2.24
24,Rājur,76.12,88,15,4.47
25,East London,52.27,64,3,8.9
26,Mataura,59.31,47,39,14.14
27,Healdsburg,82.99,47,1,10.29
28,Albany,72.0,46,0,5.93
29,Khatanga,44.62,88,85,7.38
30,Wysokie Mazowieckie,62.01,93,100,8.23
31,Ürümqi,64.4,48,0,4.47
32,Kapaa,84.99,58,20,17.22
33,Kahului,89.6,46,40,19.46
34,Camacha,71.6,56,75,12.75
35,Airai,63.9,76,27,5.35
36,Hobart,48.99,52,20,11.41
37,Grindavik,51.8,100,90,32.21
38,Konstantinovka,54.68,94,100,11.27
39,Puerto Ayora,78.8,50,100,20.8
40,Half Moon Bay,75.0,60,20,6.93
41,Provideniya,53.6,62,75,20.13
42,Goderich,69.01,68,13,9.66
43,Bonavista,57.0,79,98,1.01
44,Manokwari,76.82,83,99,4.05
45,Rafrāf,78.8,83,40,4.7
46,Dubbo,51.8,87,0,10.29
47,Castro,64.42,66,0,3.67
48,Paris,59.0,82,29,9.17
49,Páez,65.39,88,98,0.78
50,Tuatapere,58.75,56,15,16.6
51,Ahmadpur East,88.47,57,61,11.14
52,Belmopan,89.01,56,0,8.99
53,Mayor Pablo Lagerenza,76.87,52,35,12.68
54,Brumunddal,39.0,79,2,1.01
55,Larreynaga,91.4,55,20,4.7
56,Saskylakh,49.96,77,61,5.06
57,Jūybār,70.2,77,0,1.77
58,Port Hedland,66.2,32,15,8.05
59,Ribeira Grande,75.27,93,44,7.99
60,Shebunino,58.62,68,5,13.22
61,Port Blair,81.07,81,91,6.89
62,Yumen,51.78,44,2,3.38
63,Mar del Plata,50.0,39,0,6.93
64,Dikson,41.77,97,100,14.61
65,George Town,78.8,94,20,4.21
66,Esim,74.35,88,100,7.92
67,Lüderitz,56.05,38,38,21.23
68,Saint-Philippe,69.8,68,35,5.82
69,Thinadhoo,82.35,72,98,7.9
70,Korla,73.99,59,28,1.01
71,El Tocuyo,86.0,42,65,10.29
72,Cape Town,44.6,81,20,9.17
73,Berlevåg,44.6,75,40,6.93
74,Norman Wells,62.6,45,75,12.75
75,Hilo,84.2,62,75,6.93
76,Punta Arenas,33.8,55,75,9.17
77,São Filipe,78.08,82,63,13.27
78,Carnarvon,51.8,100,0,2.24
79,Taltal,56.88,76,100,3.78
80,Touros,77.0,78,0,5.82
81,Torbay,70.0,94,90,10.29
82,Hithadhoo,82.29,73,66,11.14
83,Monticello,75.0,53,1,15.73
84,Avarua,78.8,69,33,17.22
85,Ha Giang,75.45,83,93,2.21
86,Inhambane,70.5,84,96,16.13
87,Kununurra,75.2,18,0,5.82
88,Rocha,38.82,74,60,5.79
89,Saint George,97.0,14,1,11.41
90,Tiksi,43.18,83,13,9.62
91,Praia da Vitória,78.8,83,75,5.08
92,Morros,81.19,33,12,6.82
93,Kaduy,53.17,96,94,2.3
94,Iqaluit,59.0,51,20,6.93
95,Kavieng,84.72,72,87,12.77
96,Constitución,49.39,75,0,9.82
97,Gunjur,80.6,94,40,5.82
98,New Norfolk,48.99,72,10,4.7
99,Fort Nelson,62.6,51,75,3.36
100,Porto Empedocle,75.99,62,0,4.5
101,Husavik,51.8,81,90,13.87
102,Evanston,75.0,56,1,8.05
103,Port Elizabeth,46.4,81,24,6.93
104,Poum,69.48,66,1,5.32
105,Bredasdorp,44.6,81,13,8.05
106,Qaanaaq,30.51,82,0,3.78
107,Jamestown,68.0,63,1,6.93
108,Nikolskoye,59.0,87,97,6.71
109,Haines Junction,52.92,61,94,6.4
110,Longyearbyen,37.4,86,75,4.7
111,Bereda,53.01,97,26,1.01
112,Muros,59.0,72,58,1.01
113,Lucea,88.0,62,75,5.82
114,Yellowknife,53.6,54,75,14.99
115,Atuona,78.67,80,37,23.49
116,Lamu,75.79,82,2,11.72
117,Margate,61.0,79,91,5.99
118,Mora,74.12,84,79,2.44
119,Necochea,43.0,77,0,1.99
120,Amapá,76.12,85,13,3.15
121,Aklavik,51.8,62,90,2.24
122,Atambua,73.63,72,23,5.01
123,Port Alfred,49.5,74,11,10.96
124,Mafinga,63.79,60,0,3.49
125,Oruzgan,58.55,32,0,3.31
126,Redmond,75.0,47,0,3.47
127,Kuril'sk,53.44,73,93,5.08
128,Portland,77.0,43,20,6.93
129,Dongsheng,54.23,82,1,5.97
130,Arraial do Cabo,77.0,78,0,9.17
131,Strezhevoy,59.0,93,90,4.47
132,Bluff,56.16,62,42,23.24
133,Flinders,64.99,61,9,7.0
134,Thio,69.8,56,40,2.24
135,Koumac,71.19,60,4,4.47
136,Ziro,57.61,100,100,1.05
137,Kalmar,55.99,100,1,3.36
138,Keelung,84.0,88,75,6.93
139,Lotofaga,86.0,74,20,16.11
140,Palmer,71.6,40,20,14.99
141,Severo-Kuril'sk,52.09,81,17,15.73
142,Leningradskiy,36.1,92,100,4.79
143,Petropavlovsk-Kamchatskiy,50.0,87,0,6.71
144,Hermanus,39.0,89,3,13.6
145,Kimberley,35.6,40,7,1.12
146,Buin,63.0,36,0,5.82
147,Beringovskiy,45.79,75,100,32.48
148,Léo,72.43,94,90,4.99
149,Khorixas,46.33,55,0,4.21
150,Colares,66.0,56,35,18.01
151,Saldanha,41.0,80,0,2.24
152,Turukhansk,49.12,96,50,3.36
153,That Phanom,75.56,92,43,3.89
154,Santa Cruz de La Palma,73.4,64,90,18.34
155,Bikin,54.91,72,100,5.41
156,Bambous Virieux,71.01,88,40,14.99
157,San Patricio,78.8,100,90,11.41
158,Cayenne,82.4,78,100,9.17
159,Sacramento,95.0,27,1,8.05
160,Channel-Port aux Basques,61.38,96,98,5.68
161,Kâhta,86.0,17,0,9.17
162,Quelimane,75.2,83,0,3.36
163,Mount Isa,68.0,37,0,9.17
164,Guozhen,61.83,76,41,2.28
165,Sur,84.52,61,48,5.5
166,Camaná,59.45,80,100,6.76
167,Bucerías,82.4,83,90,8.05
168,Cockburn Town,86.0,66,40,8.05
169,Bose,63.0,78,40,4.0
170,Les Escoumins,43.68,100,100,11.27
171,Iroquois Falls,55.4,66,75,4.7
172,Santa Cruz,68.0,77,0,4.7
173,San Policarpo,81.12,82,96,7.63
174,Coquimbo,55.4,76,2,8.05
175,Sabang,82.9,75,92,13.06
176,Nouadhibou,73.4,73,13,20.8
177,Piranshahr,61.79,42,0,5.3
178,Muisne,80.6,83,40,12.75
179,Bambari,70.45,94,100,0.6
180,Biak,78.15,79,93,7.58
181,Cabedelo,75.2,88,20,9.17
182,Port Hardy,53.6,100,90,9.17
183,Rome,69.8,52,40,13.87
184,Ferkessédougou,72.21,92,54,4.47
185,Maxixe,70.23,84,96,15.08
186,Batemans Bay,57.99,81,24,4.0
187,Sorochinsk,58.87,81,58,4.18
188,Kaitangata,60.01,43,96,12.24
189,Pochutla,87.8,66,40,4.29
190,Padang,77.22,79,100,4.43
191,Craig,86.0,15,1,18.34
